Tree	Genotype	Treatment	Height
1	S21K1827020	D	102
1	S21K1827020	D	102
1	S21K1827020	D	105
1	S21K1827020	D	110
1	S21K1827020	D	110
1	S21K1827020	D	111
1	S21K1827020	D	116
1	S21K1827020	drought	116
4	S21K1827020	D	"77,5"
4	S21K1827020	D	86
4	S21K1827020	D	82.5
4	S21K1827020	D	85
4	S21K1827020	D	85
4	S21K1827020	D	85.5
4	S21K1827020	D	85
4	S21K1827020	D	85.5
4	S21K1827020	D	85.5
4	S21K1827020	D	86
4	S21K1827020	drought	86
13	S21K1825725	D	"62,5"
13	S21K1825725	D	"62,5"
13	S21K1825725	D	69
13	S21K1825725	D	68
13	S21K1825725	D	68
13	S21K1825725	D	66
13	S21K1825725	D	66
13	S21K1825725	D	69.5
13	S21K1825725	D	69
13	S21K1825725	D	69.5
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	69
13	S21K1825725	D	68
13	S21K1825725	drought	68
16	S21K1826703	C	"73,5"
16	S21K1826703	C	77.4
16	S21K1826703	C	78
16	S21K1826703	C	78
16	S21K1826703	C	78.5
16	S21K1826703	C	78.5
16	S21K1826703	C	80
16	S21K1826703	C	78
16	S21K1826703	C	81
16	S21K1826703	C	78
16	S21K1826703	C	82
16	S21K1826703	control	80
16	S21K1826703	control	78
19	S21K1825725	D	67
19	S21K1825725	D	71
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	67
19	S21K1825725	D	72
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	71
19	S21K1825725	D	70
19	S21K1825725	D	72
19	S21K1825725	D	71
19	S21K1825725	D	72
19	S21K1825725	D	70
19	S21K1825725	drought	70.5
19	S21K1825725	drought	70
20	S21K1825725	C	64
20	S21K1825725	C	55
20	S21K1825725	C	64
20	S21K1825725	C	62
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	66
20	S21K1825725	C	62
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	C	64
20	S21K1825725	control	64
20	S21K1825725	control	64
21	S21K1825725	C	58
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	C	65
21	S21K1825725	C	58
21	S21K1825725	control	58
24	S21K1825725	C	63
24	S21K1825725	C	74
24	S21K1825725	C	72
24	S21K1825725	C	69.5
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	C	74
24	S21K1825725	C	74
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	C	74
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	73
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	C	73
24	S21K1825725	C	72
24	S21K1825725	C	72
24	S21K1825725	control	74
24	S21K1825725	control	73
25	S21K1825725	D	"66,5"
25	S21K1825725	D	73
25	S21K1825725	D	73
25	S21K1825725	D	73
25	S21K1825725	D	73
25	S21K1825725	D	73
25	S21K1825725	drought	73
26	S21K1825725	C	68
26	S21K1825725	control	72.5
27	S21K1825725	C	69
27	S21K1825725	C	70
27	S21K1825725	C	74.5
27	S21K1825725	C	74.5
27	S21K1825725	C	75
30	S21K1825725	C	"53,5"
30	S21K1825725	C	57.5
30	S21K1825725	C	59
36	S21K1825725	D	63
36	S21K1825725	D	75
36	S21K1825725	D	74.5
36	S21K1825725	D	74
36	S21K1825725	drought	73.5
37	S21K1825725	D	"71,5"
37	S21K1825725	D	77.5
37	S21K1825725	D	78
37	S21K1825725	D	79
37	S21K1825725	D	80
37	S21K1825725	D	79.5
37	S21K1825725	D	80
37	S21K1825725	D	80
37	S21K1825725	drought	80
38	S21K1825725	C	"65,5"
38	S21K1825725	C	71
38	S21K1825725	C	71
38	S21K1825725	C	71
38	S21K1825725	control	71
39	S21K1825725	D	"47,5"
39	S21K1825725	D	54
39	S21K1825725	D	54
39	S21K1825725	D	55
39	S21K1825725	D	54
39	S21K1825725	D	55
39	S21K1825725	D	55
39	S21K1825725	D	56
39	S21K1825725	D	55
39	S21K1825725	D	56
39	S21K1825725	D	54.5
39	S21K1825725	D	55
39	S21K1825725	drought	54
40	S21K1825725	D	51
40	S21K1825725	D	59
40	S21K1825725	D	59.5
40	S21K1825725	D	58.5
40	S21K1825725	drought	59
41	S21K1825878	C	75
41	S21K1825878	C	77
41	S21K1825878	C	75
41	S21K1825878	C	74
41	S21K1825878	C	81
41	S21K1825878	C	81
41	S21K1825878	C	80
41	S21K1825878	C	80
41	S21K1825878	C	80
41	S21K1825878	control	79
43	S21K1825725	C	82
43	S21K1825725	C	82
43	S21K1825725	C	82
43	S21K1825725	C	91
43	S21K1825725	C	89
43	S21K1825725	C	91
43	S21K1825725	C	90
43	S21K1825725	C	90
43	S21K1825725	control	91
44	S21K1825725	D	"68,5"
56	S21K1826201	D	57
56	S21K1826201	D	62
56	S21K1826201	D	64
56	S21K1826201	D	63
56	S21K1826201	D	62
56	S21K1826201	D	62.5
56	S21K1826201	D	83
56	S21K1826201	D	62.5
56	S21K1826201	drought	63
57	S21K1826201	C	61
57	S21K1826201	C	62
57	S21K1826201	C	63
57	S21K1826201	C	60
57	S21K1826201	C	62
57	S21K1826201	C	60
57	S21K1826201	C	61
57	S21K1826201	C	60
57	S21K1826201	control	59.5
82	S21K1827020	C	"83,5"
82	S21K1827020	C	86.8
82	S21K1827020	C	88
82	S21K1827020	C	89
82	S21K1827020	C	89
82	S21K1827020	C	89
82	S21K1827020	C	88
82	S21K1827020	C	89
82	S21K1827020	C	88
82	S21K1827020	C	89.5
82	S21K1827020	C	89
82	S21K1827020	control	89
83	S21K1827020	C	"62,5"
83	S21K1827020	C	65
83	S21K1827020	C	66
83	S21K1827020	C	65
83	S21K1827020	C	67
83	S21K1827020	C	67
83	S21K1827020	C	67.5
83	S21K1827020	C	68
83	S21K1827020	C	68
83	S21K1827020	control	68
86	S21K1826213	D	51
86	S21K1826213	D	52
86	S21K1826213	D	51
86	S21K1826213	D	51.5
86	S21K1826213	D	52
86	S21K1826213	D	51
86	S21K1826213	D	51
86	S21K1826213	D	51.5
86	S21K1826213	drought	52
87	S21K1826213	C	"51,5"
87	S21K1826213	C	44
87	S21K1826213	C	51
87	S21K1826213	C	45.5
87	S21K1826213	C	52
87	S21K1826213	C	51
87	S21K1826213	C	51.5
87	S21K1826213	C	51
87	S21K1826213	C	51.5
87	S21K1826213	C	52
87	S21K1826213	C	52
87	S21K1826213	C	52
87	S21K1826213	control	52
87	S21K1826213	control	52
88	S21K1826213	C	74
88	S21K1826213	C	75
88	S21K1826213	C	75
88	S21K1826213	C	75
88	S21K1826213	C	75
88	S21K1826213	C	75
88	S21K1826213	C	74
88	S21K1826213	C	75
88	S21K1826213	control	74.5
92	S21K1826213	C	"70,5"
92	S21K1826213	C	70
92	S21K1826213	C	70
92	S21K1826213	C	70
92	S21K1826213	C	70
92	S21K1826213	C	71
92	S21K1826213	C	70
92	S21K1826213	C	71
92	S21K1826213	control	71
98	S21K1825882	C	64
98	s21k1825882	C	70
98	S21K1825882	C	66.5
98	S21K1825882	C	70
98	S21K1825882	C	69
98	S21K1825882	C	70
98	S21K1825882	C	69
98	S21K1825882	C	70
98	S21K1825882	C	68
