Genotype	Treatment	Height	Timepoint	GenotypeTreatment
S21K1826738	control	77	2	S21K1826738xcontrol
S21K1826738	control	98	3	S21K1826738xcontrol
S21K1826738	control	85	3	S21K1826738xcontrol
S21K1826738	control	84	3	S21K1826738xcontrol
S21K1826738	control	84	3	S21K1826738xcontrol
S21K1826738	drought	82	3	S21K1826738xdrought
S21K1826738	control	82	3	S21K1826738xcontrol
S21K1826738	control	79	3	S21K1826738xcontrol
S21K1826738	control	95.5	4	S21K1826738xcontrol
S21K1826738	control	91	4	S21K1826738xcontrol
S21K1826738	control	87.5	4	S21K1826738xcontrol
S21K1826738	control	86.5	4	S21K1826738xcontrol
S21K1826738	control	85	4	S21K1826738xcontrol
S21K1826738	drought	83.5	4	S21K1826738xdrought
S21K1826738	control	79.5	4	S21K1826738xcontrol
S21K1826738	control	95	5	S21K1826738xcontrol
S21K1826738	control	91	5	S21K1826738xcontrol
S21K1826738	control	88	5	S21K1826738xcontrol
S21K1826738	control	87	5	S21K1826738xcontrol
S21K1826738	control	86	5	S21K1826738xcontrol
S21K1826738	drought	81.5	5	S21K1826738xdrought
S21K1826738	control	79	5	S21K1826738xcontrol
S21K1826738	control	95	6	S21K1826738xcontrol
S21K1826738	control	92	6	S21K1826738xcontrol
S21K1826738	control	88	6	S21K1826738xcontrol
S21K1826738	control	88	6	S21K1826738xcontrol
S21K1826738	control	86	6	S21K1826738xcontrol
S21K1826738	drought	83.5	6	S21K1826738xdrought
S21K1826738	control	79	6	S21K1826738xcontrol
S21K1826738	control	95.5	7	S21K1826738xcontrol
S21K1826738	control	91	7	S21K1826738xcontrol
S21K1826738	control	88.5	7	S21K1826738xcontrol
S21K1826738	control	88	7	S21K1826738xcontrol
S21K1826738	control	86	7	S21K1826738xcontrol
S21K1826738	drought	81	7	S21K1826738xdrought
S21K1826738	control	79	7	S21K1826738xcontrol
S21K1826738	control	95	8	S21K1826738xcontrol
S21K1826738	control	91	8	S21K1826738xcontrol
S21K1826738	control	87.5	8	S21K1826738xcontrol
S21K1826738	control	87	8	S21K1826738xcontrol
S21K1826738	control	85.5	8	S21K1826738xcontrol
S21K1826738	drought	81	8	S21K1826738xdrought
S21K1826738	control	79	8	S21K1826738xcontrol
S21K1826738	control	95.5	9	S21K1826738xcontrol
S21K1826738	control	91	9	S21K1826738xcontrol
S21K1826738	control	88	9	S21K1826738xcontrol
S21K1826738	control	87	9	S21K1826738xcontrol
S21K1826738	control	85.5	9	S21K1826738xcontrol
S21K1826738	drought	81.5	9	S21K1826738xdrought
S21K1826738	control	79	9	S21K1826738xcontrol
S21K1826989	drought	65	1	S21K1826989xdrought
S21K1826989	drought	65	1	S21K1826989xdrought
S21K1826989	control	63	1	S21K1826989xcontrol
S21K1826989	drought	61	1	S21K1826989xdrought
S21K1826989	control	57	1	S21K1826989xcontrol
S21K1826989	control	55	1	S21K1826989xcontrol
S21K1826989	drought	55	1	S21K1826989xdrought
S21K1826989	drought	55	1	S21K1826989xdrought
S21K1826989	control	53	1	S21K1826989xcontrol
S21K1826989	drought	47	1	S21K1826989xdrought
S21K1826989	control	43	1	S21K1826989xcontrol
S21K1826989	drought	65	2	S21K1826989xdrought
S21K1826989	drought	63.5	2	S21K1826989xdrought
S21K1826989	drought	63	2	S21K1826989xdrought
S21K1826989	control	63	2	S21K1826989xcontrol
S21K1826989	control	62	2	S21K1826989xcontrol
S21K1826989	control	58	2	S21K1826989xcontrol
S21K1826989	control	56	2	S21K1826989xcontrol
S21K1826989	drought	56	2	S21K1826989xdrought
S21K1826989	drought	56	2	S21K1826989xdrought
S21K1826989	drought	44.3	2	S21K1826989xdrought
S21K1826989	control	43	2	S21K1826989xcontrol
S21K1826989	drought	65	3	S21K1826989xdrought
S21K1826989	control	65	3	S21K1826989xcontrol
S21K1826989	drought	63	3	S21K1826989xdrought
S21K1826989	control	62	3	S21K1826989xcontrol
S21K1826989	drought	56	3	S21K1826989xdrought
S21K1826989	control	56	3	S21K1826989xcontrol
S21K1826989	drought	56	3	S21K1826989xdrought
S21K1826989	drought	56	3	S21K1826989xdrought
S21K1826989	control	50	3	S21K1826989xcontrol
S21K1826989	drought	48	3	S21K1826989xdrought
S21K1826989	control	42	3	S21K1826989xcontrol
S21K1826989	drought	70	4	S21K1826989xdrought
S21K1826989	drought	68.5	4	S21K1826989xdrought
S21K1826989	control	68.5	4	S21K1826989xcontrol
S21K1826989	drought	68.5	4	S21K1826989xdrought
S21K1826989	drought	66	4	S21K1826989xdrought
S21K1826989	drought	58	4	S21K1826989xdrought
S21K1826989	control	57	4	S21K1826989xcontrol
S21K1826989	control	54.5	4	S21K1826989xcontrol
S21K1826989	control	51	4	S21K1826989xcontrol
S21K1826989	drought	44.5	4	S21K1826989xdrought
S21K1826989	control	40	4	S21K1826989xcontrol
S21K1826989	drought	73	5	S21K1826989xdrought
S21K1826989	control	70	5	S21K1826989xcontrol
S21K1826989	drought	69.5	5	S21K1826989xdrought
S21K1826989	drought	69	5	S21K1826989xdrought
S21K1826989	drought	65	5	S21K1826989xdrought
S21K1826989	drought	60	5	S21K1826989xdrought
S21K1826989	control	59	5	S21K1826989xcontrol
S21K1826989	control	57	5	S21K1826989xcontrol
S21K1826989	control	54	5	S21K1826989xcontrol
S21K1826989	drought	44	5	S21K1826989xdrought
S21K1826989	control	40	5	S21K1826989xcontrol
S21K1826989	drought	70	6	S21K1826989xdrought
S21K1826989	control	70	6	S21K1826989xcontrol
S21K1826989	drought	69	6	S21K1826989xdrought
S21K1826989	drought	68	6	S21K1826989xdrought
S21K1826989	drought	66	6	S21K1826989xdrought
S21K1826989	drought	59	6	S21K1826989xdrought
S21K1826989	control	58	6	S21K1826989xcontrol
S21K1826989	control	55	6	S21K1826989xcontrol
S21K1826989	control	50	6	S21K1826989xcontrol
S21K1826989	drought	45	6	S21K1826989xdrought
S21K1826989	control	39	6	S21K1826989xcontrol
S21K1826989	drought	70	7	S21K1826989xdrought
S21K1826989	drought	69	7	S21K1826989xdrought
S21K1826989	control	68	7	S21K1826989xcontrol
S21K1826989	drought	68	7	S21K1826989xdrought
S21K1826989	drought	65.5	7	S21K1826989xdrought
S21K1826989	control	59	7	S21K1826989xcontrol
S21K1826989	drought	58	7	S21K1826989xdrought
S21K1826989	control	57	7	S21K1826989xcontrol
S21K1826989	control	51	7	S21K1826989xcontrol
S21K1826989	drought	44.5	7	S21K1826989xdrought
S21K1826989	control	40	7	S21K1826989xcontrol
S21K1826989	control	70	8	S21K1826989xcontrol
S21K1826989	drought	69.5	8	S21K1826989xdrought
S21K1826989	drought	69	8	S21K1826989xdrought
S21K1826989	drought	68.5	8	S21K1826989xdrought
S21K1826989	drought	65	8	S21K1826989xdrought
S21K1826989	control	59	8	S21K1826989xcontrol
S21K1826989	drought	58.5	8	S21K1826989xdrought
S21K1826989	control	55	8	S21K1826989xcontrol
S21K1826989	control	51	8	S21K1826989xcontrol
S21K1826989	drought	45	8	S21K1826989xdrought
S21K1826989	control	40	8	S21K1826989xcontrol
S21K1826989	drought	71	9	S21K1826989xdrought
S21K1826989	control	70	9	S21K1826989xcontrol
S21K1826989	drought	69.5	9	S21K1826989xdrought
S21K1826989	drought	68.5	9	S21K1826989xdrought
S21K1826989	drought	65	9	S21K1826989xdrought
S21K1826989	control	59	9	S21K1826989xcontrol
S21K1826989	drought	58	9	S21K1826989xdrought
S21K1826989	control	54	9	S21K1826989xcontrol
S21K1826989	drought	52.5	9	S21K1826989xdrought
S21K1826989	control	51.5	9	S21K1826989xcontrol
S21K1826989	control	41	9	S21K1826989xcontrol
S21K1827016	control	67	1	S21K1827016xcontrol
S21K1827016	control	65	1	S21K1827016xcontrol
S21K1827016	drought	63	1	S21K1827016xdrought
S21K1827016	control	62	1	S21K1827016xcontrol
S21K1827016	drought	59	1	S21K1827016xdrought
S21K1827016	drought	50	1	S21K1827016xdrought
S21K1827016	control	72	2	S21K1827016xcontrol
S21K1827016	control	67	2	S21K1827016xcontrol
S21K1827016	control	66	2	S21K1827016xcontrol
S21K1827016	drought	61	2	S21K1827016xdrought
S21K1827016	drought	60	2	S21K1827016xdrought
S21K1827016	drought	50	2	S21K1827016xdrought
S21K1827016	control	72	3	S21K1827016xcontrol
S21K1827016	control	68	3	S21K1827016xcontrol
S21K1827016	control	67	3	S21K1827016xcontrol
S21K1827016	drought	60	3	S21K1827016xdrought
S21K1827016	drought	60	3	S21K1827016xdrought
S21K1827016	drought	47	3	S21K1827016xdrought
S21K1827016	drought	71	4	S21K1827016xdrought
S21K1827016	control	69.5	4	S21K1827016xcontrol
S21K1827016	control	69	4	S21K1827016xcontrol
S21K1827016	control	67	4	S21K1827016xcontrol
S21K1827016	drought	57	4	S21K1827016xdrought
S21K1827016	drought	54.5	4	S21K1827016xdrought
S21K1827016	drought	71	5	S21K1827016xdrought
S21K1827016	control	69	5	S21K1827016xcontrol
S21K1827016	control	68.5	5	S21K1827016xcontrol
S21K1827016	control	67.5	5	S21K1827016xcontrol
S21K1827016	drought	60	5	S21K1827016xdrought
S21K1827016	drought	54	5	S21K1827016xdrought
S21K1827016	control	73.5	6	S21K1827016xcontrol
S21K1827016	drought	72	6	S21K1827016xdrought
S21K1827016	control	68.5	6	S21K1827016xcontrol
S21K1827016	control	68	6	S21K1827016xcontrol
S21K1827016	drought	61	6	S21K1827016xdrought
S21K1827016	drought	54	6	S21K1827016xdrought
S21K1827016	control	72.5	7	S21K1827016xcontrol
S21K1827016	drought	71	7	S21K1827016xdrought
S21K1827016	control	69	7	S21K1827016xcontrol
S21K1827016	control	67	7	S21K1827016xcontrol
S21K1827016	drought	57	7	S21K1827016xdrought
S21K1827016	drought	54	7	S21K1827016xdrought
S21K1827016	control	73	8	S21K1827016xcontrol
S21K1827016	drought	71	8	S21K1827016xdrought
S21K1827016	control	68.5	8	S21K1827016xcontrol
S21K1827016	control	68	8	S21K1827016xcontrol
S21K1827016	drought	60	8	S21K1827016xdrought
S21K1827016	drought	54	8	S21K1827016xdrought
S21K1827016	control	73	9	S21K1827016xcontrol
S21K1827016	drought	71	9	S21K1827016xdrought
S21K1827016	control	69	9	S21K1827016xcontrol
S21K1827016	control	67	9	S21K1827016xcontrol
S21K1827016	drought	60.5	9	S21K1827016xdrought
S21K1827016	drought	53	9	S21K1827016xdrought
S21K1827020	control	83.5	1	S21K1827020xcontrol
S21K1827020	drought	77.5	1	S21K1827020xdrought
S21K1827020	control	62.5	1	S21K1827020xcontrol
S21K1827020	drought	101	1	S21K1827020xdrought
S21K1827020	drought	87	1	S21K1827020xdrought
S21K1827020	drought	84	1	S21K1827020xdrought
S21K1827020	control	80	1	S21K1827020xcontrol
S21K1827020	control	75	1	S21K1827020xcontrol
S21K1827020	control	73	1	S21K1827020xcontrol
S21K1827020	control	63	1	S21K1827020xcontrol
S21K1827020	drought	102	2	S21K1827020xdrought
S21K1827020	drought	90	2	S21K1827020xdrought
S21K1827020	control	86.8	2	S21K1827020xcontrol
S21K1827020	drought	86	2	S21K1827020xdrought
S21K1827020	control	86	2	S21K1827020xcontrol
S21K1827020	drought	82.5	2	S21K1827020xdrought
S21K1827020	control	79	2	S21K1827020xcontrol
S21K1827020	control	74	2	S21K1827020xcontrol
S21K1827020	control	65	2	S21K1827020xcontrol
S21K1827020	control	62	2	S21K1827020xcontrol
S21K1827020	drought	102	3	S21K1827020xdrought
S21K1827020	drought	98.5	3	S21K1827020xdrought
S21K1827020	drought	93	3	S21K1827020xdrought
S21K1827020	control	88	3	S21K1827020xcontrol
S21K1827020	control	87	3	S21K1827020xcontrol
S21K1827020	drought	85	3	S21K1827020xdrought
S21K1827020	control	79	3	S21K1827020xcontrol
S21K1827020	control	74	3	S21K1827020xcontrol
S21K1827020	control	66	3	S21K1827020xcontrol
S21K1827020	control	65	3	S21K1827020xcontrol
S21K1827020	drought	105	4	S21K1827020xdrought
S21K1827020	drought	95.5	4	S21K1827020xdrought
S21K1827020	drought	92	4	S21K1827020xdrought
S21K1827020	control	89	4	S21K1827020xcontrol
S21K1827020	control	89	4	S21K1827020xcontrol
S21K1827020	drought	85	4	S21K1827020xdrought
S21K1827020	control	83	4	S21K1827020xcontrol
S21K1827020	control	80	4	S21K1827020xcontrol
S21K1827020	control	69	4	S21K1827020xcontrol
S21K1827020	control	67	4	S21K1827020xcontrol
S21K1827020	drought	110	5	S21K1827020xdrought
S21K1827020	drought	92	5	S21K1827020xdrought
S21K1827020	control	89	5	S21K1827020xcontrol
S21K1827020	control	88	5	S21K1827020xcontrol
S21K1827020	drought	85.5	5	S21K1827020xdrought
S21K1827020	drought	85	5	S21K1827020xdrought
S21K1827020	control	83	5	S21K1827020xcontrol
S21K1827020	control	82.5	5	S21K1827020xcontrol
S21K1827020	control	69	5	S21K1827020xcontrol
S21K1827020	control	67	5	S21K1827020xcontrol
S21K1827020	drought	110	6	S21K1827020xdrought
S21K1827020	drought	95	6	S21K1827020xdrought
S21K1827020	drought	93	6	S21K1827020xdrought
S21K1827020	control	89	6	S21K1827020xcontrol
S21K1827020	control	88	6	S21K1827020xcontrol
S21K1827020	drought	85.5	6	S21K1827020xdrought
S21K1827020	control	85	6	S21K1827020xcontrol
S21K1827020	control	80	6	S21K1827020xcontrol
S21K1827020	control	69	6	S21K1827020xcontrol
S21K1827020	control	67.5	6	S21K1827020xcontrol
S21K1827020	drought	111	7	S21K1827020xdrought
S21K1827020	drought	97	7	S21K1827020xdrought
S21K1827020	drought	92	7	S21K1827020xdrought
S21K1827020	control	89.5	7	S21K1827020xcontrol
S21K1827020	control	87	7	S21K1827020xcontrol
S21K1827020	drought	85.5	7	S21K1827020xdrought
S21K1827020	control	84	7	S21K1827020xcontrol
S21K1827020	control	79	7	S21K1827020xcontrol
S21K1827020	control	69	7	S21K1827020xcontrol
S21K1827020	control	68	7	S21K1827020xcontrol
S21K1827020	drought	116	8	S21K1827020xdrought
S21K1827020	drought	95	8	S21K1827020xdrought
S21K1827020	drought	92.5	8	S21K1827020xdrought
S21K1827020	control	89	8	S21K1827020xcontrol
S21K1827020	control	87.5	8	S21K1827020xcontrol
S21K1827020	drought	86	8	S21K1827020xdrought
S21K1827020	control	82	8	S21K1827020xcontrol
S21K1827020	control	77.5	8	S21K1827020xcontrol
S21K1827020	control	69	8	S21K1827020xcontrol
S21K1827020	control	68	8	S21K1827020xcontrol
S21K1827020	drought	116	9	S21K1827020xdrought
S21K1827020	drought	95	9	S21K1827020xdrought
S21K1827020	drought	92	9	S21K1827020xdrought
S21K1827020	control	89	9	S21K1827020xcontrol
S21K1827020	control	88.5	9	S21K1827020xcontrol
S21K1827020	drought	86	9	S21K1827020xdrought
S21K1827020	control	84	9	S21K1827020xcontrol
S21K1827020	control	81	9	S21K1827020xcontrol
S21K1827020	control	69	9	S21K1827020xcontrol
S21K1827020	control	68	9	S21K1827020xcontrol
